collection_id,created_at,updated_at,owner_team,selected_by,selection_source,signal_id,cluster_id,need_id,product_idea_th,product_category,shopee_query,marketing_angle_th,buyer_archetype_th,hook_hypothesis_th,why_marketing_selected_th,priority,expected_content_format,ethics_color_initial,policy_risk_initial,claim_risk_initial,research_status,research_owner,candidate_record_id,collection_status,notes_th
mc-example-tired-eyes-20260604,2026-06-04T00:00:00+07:00,2026-06-04T18:42:58+07:00,marketing,marketing_strategy,viral_signal,example-celebrity-late-night-tired-eyes,cluster-example-tired-eyes,need-example-tired-eyes,สินค้ารูทีนเช้าหลังนอนน้อย,beauty_routine,เจลมาสก์ตาเย็น eye mask OR concealer OR eye cream Shopee,เช้าเร่ง ๆ หลังนอนดึก อยากดูสดขึ้นแบบไม่อ้างผลรักษา,คนทำงาน/นักศึกษา/creator ที่นอนดึกและต้องออกไปเจอคน,เปิดด้วยภาพเช้าเร่ง ๆ แล้วโชว์ routine ง่าย ๆ,โยงกับ need ทั่วไปเรื่องนอนน้อย ไม่ใช้ชื่อ/ภาพ/endorsement ของดารา,medium,15s_hook_test,amber,medium,medium,needs_human_review,product_research,,selected_for_research,ต้อง human review ก่อน health/cosmetic-adjacent mapping; example row ยังไม่เลือกสินค้า
mc-example-violence-blocked-20260604,2026-06-04T00:00:00+07:00,2026-06-04T00:00:00+07:00,marketing,marketing_strategy,viral_signal,example-domestic-violence-injury,cluster-example-violence,need-example-violence,ไม่อนุมัติเลือกสินค้าจากข่าวความรุนแรง,no_direct_product_mapping,,ห้ามขายครีม/ยา/สินค้าจากบาดแผลของคนจริง,,ข่าวรุนแรงไม่ใช่ shopping hook,เป็นตัวอย่าง blocked collection เพื่อกันหยิบซ้ำ,high,,red,high,high,blocked_by_ethics,,,blocked,red signal: archive เป็น social learning เท่านั้น
mc-rain-commute-bag-cover-20260604,2026-06-04T14:30:00+07:00,2026-06-05T16:03:38+07:00,marketing,viral_team_ad_hoc,viral_signal,ad-hoc-rain-commute-bag-cover-20260604,cluster-rain-commute-bag-cover-20260604,need-rain-commute-bag-cover-20260604,ผ้าคลุมกระเป๋าเป้กันฝน,backpack_rain_cover,site:shopee.co.th rain cover กระเป๋าเป้กันฝน,ฝนมาไวแต่ของในกระเป๋าต้องรอดแบบไม่ดราม่า,คนทำงานและนักศึกษาที่เดินทางด้วย BTS MRT รถเมล์ มอเตอร์ไซค์รับจ้าง,เปิดด้วยเสียงฝนเริ่มแล้วหยิบ rain cover คลุมกระเป๋าก่อนออกจากอาคาร,official rainy season plus repeated Thai news and Shopee price floors keep the commute angle hot,high,30s_commercial_master,green,low,low,ready_for_normalizer,product_research,rain-commute-bag-cover-20260604,selected_for_research,16:03 repeat TMD recheck still keeps commute rain protection live; stay utility-only
mc-rain-travel-dry-bag-20260604,2026-06-04T14:30:00+07:00,2026-06-05T03:06:48+07:00,marketing,viral_team_ad_hoc,viral_signal,ad-hoc-rain-travel-dry-bag-20260604,cluster-rain-travel-dry-bag-20260604,need-rain-travel-dry-bag-20260604,กระเป๋า dry bag สำหรับเที่ยวหน้าฝน,dry_bag_waterproof_packing,site:shopee.co.th dry bag waterproof กระเป๋ากันน้ำ ท่องเที่ยว,แพ็กของสำคัญแยกไว้ก่อนฝนลง ไม่ต้องกลัวทริปล่ม,นักท่องเที่ยวภาคใต้ คนทำงานริมทะเล และ creator สาย travel,โชว์ pack phone wallet power bank ลง dry bag ก่อนเดินทางฝนปรอย,ข่าวอันดามันฝนหนักและ travel chatter ทำให้ demand window สั้นแต่ชัด,high,15s_hook_test,amber,medium,low,ready_for_normalizer,product_research,rain-travel-dry-bag-20260604,selected_for_research,Repeat evening TMD recheck keeps travel-prep angle live
mc-mosquito-screen-repair-20260604,2026-06-04T14:30:00+07:00,2026-06-04T18:42:58+07:00,marketing,viral_team_ad_hoc,viral_signal,ad-hoc-rainy-season-mosquito-home-20260604,cluster-mosquito-home-rainy-season-20260604,need-mosquito-home-rainy-season-20260604,เทปซ่อมมุ้งลวดหรืออุปกรณ์ปิดช่องยุง,mosquito_screen_repair_home,site:shopee.co.th มุ้งลวดซ่อม เทปมุ้งลวด กันยุง,หน้าฝนเช็กมุ้งลวดช่องเล็ก ๆ ก่อนยุงเข้าบ้าน,ครอบครัวในคอนโด บ้านเช่า และหอพักที่อยากแก้จุดเล็ก ๆ เร็ว,เปิดด้วย close-up รูมุ้งลวดแล้วแปะซ่อมใน 5 วินาที,DDC rainy-season warning ให้ angle บ้านปลอดโปร่งโดยไม่ต้องพูดโรคแรง,medium,15s_hook_test,amber,medium,medium,ready_for_normalizer,product_research,mosquito-screen-repair-20260604,selected_for_research,"Validated active Shopee screen repair tape; limit copy to home comfort, no disease claims"
mc-pride-outdoor-comfort-kit-20260604,2026-06-04T14:30:00+07:00,2026-06-05T20:07:07+07:00,marketing,viral_team_ad_hoc,viral_signal,ad-hoc-pride-outdoor-event-kit-20260604,cluster-pride-outdoor-event-kit-20260604,need-pride-outdoor-event-kit-20260604,พัดลมพกพาหรือกระเป๋าใสสำหรับงานกลางแจ้ง,portable_fan_clear_sling,site:shopee.co.th พัดลมพกพา กระเป๋าใส clear bag event,ไปงานกลางแจ้งทั้งวัน พกเบา ถ่ายคอนเทนต์ง่าย และไม่รกมือ,คนไปงาน Pride concert market และ event outdoor ในกรุงเทพ,เปิดด้วย checklist ก่อนออกจากบ้านไปงานกลางแจ้ง มี fan phone pouch clear bag,Thai PBS and PRD coverage keep Pride Month event-comfort timing visible,medium,15s_hook_test,amber,medium,low,ready_for_normalizer,product_research,pride-outdoor-comfort-fan-20260604,selected_for_research,2026-06-05 repeat PRD Pride coverage still supports the June event-comfort angle
mc-back-to-school-rain-kit-20260604,2026-06-04T14:30:00+07:00,2026-06-05T20:07:07+07:00,marketing,viral_team_ad_hoc,viral_signal,ad-hoc-back-to-school-rain-kit-20260604,cluster-back-to-school-rain-kit-20260604,need-back-to-school-rain-kit-20260604,สติกเกอร์ชื่อกันน้ำหรือ rain cover กระเป๋านักเรียน,waterproof_name_label_school_bag_cover,site:shopee.co.th สติกเกอร์ชื่อกันน้ำ ป้ายชื่อนักเรียน rain cover กระเป๋านักเรียน,เปิดเทอมหน้าฝน ของเด็กต้องไม่หายและไม่เปียกง่าย,ผู้ปกครองเด็กประถมและมัธยมที่กำลังซื้อของเปิดเทอม,เปิดด้วยแม่ติดชื่อกันน้ำบนขวดน้ำหรือคลุมกระเป๋าก่อนออกไปโรงเรียน,Back To School campaign และฤดูฝนทำให้ product timing ชัดและปลอดภัย,high,30s_commercial_master,green,low,low,ready_for_normalizer,product_research,school-rain-kit-20260604,selected_for_research,2026-06-05 repeat weather timing still reinforces school commute rain kit
mc-phone-waterproof-pouch-20260604,2026-06-04T19:41:32+07:00,2026-06-05T03:06:48+07:00,marketing,viral_team_ad_hoc,viral_signal,shopee-phone-waterproof-pouch-budget-20260605,cluster-phone-waterproof-pouch-20260604,need-phone-waterproof-pouch-20260604,ซองกันน้ำมือถือสำหรับเดินทางหน้าฝน,phone_waterproof_pouch,site:shopee.co.th ซองใส่โทรศัพท์กันน้ำ,มือถือยังใช้ได้เมื่อฝนเริ่มตกและต้องเรียกรถหรือจ่ายเงิน,คนเดินทางในเมือง คนขี่มอเตอร์ไซค์รับจ้าง และผู้ใช้มือถือที่ไม่อยากหยุดงานกลางทาง,เปิดด้วยหยิบมือถือใส่ซองกันน้ำก่อนออกจากอาคารแล้วเดินต่อในฝนปรอย,live Shopee low-price floor and category-page recheck keep commuter pain visible and the demo path quick,high,15s_hook_test,green,low,low,ready_for_normalizer,product_research,phone-waterproof-pouch-20260604,selected_for_research,Today's phone-pouch recheck keeps the low-price commuter angle live; keep claims to splash/rain protection only
mc-rain-shoe-cover-20260605,2026-06-05T13:02:22+07:00,2026-06-05T20:07:07+07:00,marketing,viral_team_ad_hoc,viral_signal,nation-heavy-rain-overflow-shoe-cover-20260605,cluster-shoe-cover-rain-commute-20260605,need-rain-shoe-cover-20260605,ถุงคลุมรองเท้ากันฝนพกพา,shoe_cover,site:shopee.co.th shoe cover ถุงคลุมรองเท้ากันน้ำ,ฝนลงแล้วแต่รองเท้ายังต้องแห้งและเดินต่อได้,คนเดินทางในเมือง นักศึกษา และไรเดอร์ที่เจอพื้นเปียกบ่อย,เปิดด้วยรองเท้าโดนน้ำขังแล้วหยิบ shoe cover มาสวมก่อนเดินต่อ,Fresh heavy-rain warning plus live Shopee shoe-cover floor makes the utility hook concrete,high,15s_hook_test,green,low,low,ready_for_normalizer,product_research,rain-shoe-cover-20260605,selected_for_research,2026-06-05 repeat official weather still keeps the shoe-cover hook concrete
mc-gt-th-เม็กซิโก-พบ-เซอร์เบีย-f215860c,2026-06-05T18:03:09+07:00,2026-06-05T18:03:09+07:00,marketing,social_media_scanner,social_search_trend,gt-th-เม็กซิโก-พบ-เซอร์เบีย-f215860c,cluster-gt-th-เม็กซิโก-พบ-เซอร์เบีย-f215860c,need-gt-th-เม็กซิโก-พบ-เซอร์เบีย-f215860c,fan_gear,fan_gear,site:shopee.co.th เสื้อกีฬา ผ้าพันคอ เชียร์บอล ของดูบอล,จัดมุมดูบอลที่บ้านหรือของพกไปเชียร์,ผู้ใช้ไทยที่กำลังสนใจ trend นี้และมี pain ใช้งานจริง,เปิดด้วย trend 'เม็กซิโก พบ เซอร์เบีย' แล้วโยงเป็น use case ที่ไม่ overclaim,Google Trends TH rank 6 traffic 500+ ทำให้เห็น attention ซ้ำได้,medium,15s_hook_test,green,low,low,needs_research,product_research,,selected_for_research,auto-selected from Google Trends RSS; Research must validate before candidate
