observation_id,signal_id,observed_at,views,likes,comments,shares,saves,search_rank,trend_rank,velocity_1h,velocity_6h,sentiment_th,comment_themes_th,raw_snapshot_json,observer_agent
example-observation-001,example-celebrity-late-night-tired-eyes,2026-06-04T00:00:00+07:00,,,,,,,,,,neutral,ตัวอย่าง comment theme เรื่องนอนน้อย/ใต้ตา,{},social_radar_example
obs-heavy-rain-commute-20260604,news-heavy-rain-commute-20260601,2026-06-04T15:42:14+07:00,,,,,,,,,,cautious,headline theme เรื่องฝนหนักและเตรียมกันเปียกระหว่างเดินทาง,"{""source_url"":""https://thethaiger.com/news/national/thailand-weather-forecast-june-1-heavy-rain-nationwide"",""published"":""2026-06-01"",""headline"":""Southwest monsoon drives flash flood risk across Thailand"",""key_fact"":""weather warning echoed by Thai news"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-dit-back-to-school-20260604,dit-back-to-school-cost-control-20260511,2026-06-04T15:42:14+07:00,7,,,,,,,,,neutral,price-control and back-to-school timing,"{""source_url"":""https://www.dit.go.th/th/news/activity-pictures/2569/dit-%E0%B8%A5%E0%B8%87%E0%B8%9E-%E0%B8%99%E0%B8%97-%E0%B8%95%E0%B8%A3%E0%B8%A7%E0%B8%88%E0%B8%A3-%E0%B8%B2%E0%B8%99%E0%B8%8A-%E0%B8%94%E0%B8%99-%E0%B8%81%E0%B9%80%E0%B8%A3-%E0%B8%A2%E0%B8%99-%E0%B8%81-%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%9B-%E0%B8%94%E0%B9%80%E0%B8%97%E0%B8%AD%E0%B8%A1-%E0%B8%A2-%E0%B8%B3%E0%B8%95%E0%B8%A3-%E0%B8%87%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2-%E0%B8%9B-%E0%B8%94%E0%B8%9B-%E0%B8%B2%E0%B8%A2%E0%B8%8A-%E0%B8%94-%E0%B8%8A%E0%B8%A7%E0%B8%99%E0%B8%9C-%E0%B8%9B%E0%B8%81%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B9%83%E0%B8%8A-%E0%B9%82%E0%B8%9B%E0%B8%A3-back-to-school-2026/"",""published"":""2026-05-11"",""headline"":""DIT checks school uniform prices before term start"",""key_fact"":""Back To School 2026 and price display enforcement"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-heavy-rain-20260604,tmd-heavy-rain-commute-20260604,2026-06-04T16:12:41+07:00,,,,,,,,,,cautious,official forecast mentions Bangkok thunderstorms and heavier rain in upper Thailand,"{""source_url"":""https://tmd.go.th/weather/weatherthailand"",""published"":""2026-06-04"",""headline"":""กรมอุตุนิยมวิทยา | พยากรณ์อากาศทั่วประเทศ"",""key_fact"":""Bangkok and surrounding areas have 60% thunderstorms and some heavy rain"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-shopee-rain-cover-20260604,shopee-rain-cover-impulse-20260604,2026-06-04T16:12:41+07:00,,,,,,,,,,neutral,low-price rain cover listing for backpacks and school bags,"{""source_url"":""https://shopee.co.th/%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B9%89-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99-%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%9D%E0%B8%99-%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B9%80%E0%B8%9B%E0%B9%89-%E0%B9%80%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%9B%E0%B9%88%E0%B8%B2-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%AB%E0%B8%99%E0%B8%B2-Rain-cover-Rainproof-Backpack-Cover-i.967451259.21389136477"",""published"":""2026-06-04"",""headline"":""ถุงคลุมกระเป๋าเป้/กระเป๋านักเรียน กันฝน ถุงคลุมเป้ เดินป่า แบบหนา Rain cover Rainproof Backpack Cover"",""key_fact"":""listing price is 29 baht and fits commute/school use"",""use_case"":""commute and school protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-thaipbs-pride-bangkok-20260604,thaipbs-pride-bangkok-20260604,2026-06-04T16:12:41+07:00,,,,,,,,,,positive,Thai PBS Pride hub keeps Bangkok Pride 2026 visible today,"{""source_url"":""https://www.thaipbs.or.th/PrideMonth2026"",""published"":""2026-06-04"",""headline"":""Pride Month 2026 ก้าวสำคัญของชาว LGBTQIAN+ หลังสมรสเท่าเทียมมีผลแล้ว"",""key_fact"":""Thai PBS highlights Bangkok Pride 2026 within the Pride Month hub"",""use_case"":""event comfort"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-prd-pride-month-20260604,prd-pride-month-festivals-20260602,2026-06-04T15:42:14+07:00,,,,,,,,,,positive,official Pride month festival calendar across Thailand,"{""source_url"":""https://thailand.prd.go.th/en/content/category/detail/id/2078/iid/508710"",""published"":""2026-06-02"",""headline"":""Pride Month Festivals 2026 in Thailand"",""key_fact"":""multiple June Pride events across Thailand"",""use_case"":""event comfort"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-theactive-heavy-rain-20260604,theactive-heavy-rain-20260603,2026-06-04T16:41:24+07:00,,,,,,,,,,cautious,headline theme เรื่องฝนหนัก 4-6 มิ.ย. และเตรียมกันเปียกก่อนเดินทาง,"{""source_url"":""https://theactive.thaipbs.or.th/news/climate-change-20260603"",""published"":""2026-06-03"",""headline"":""เตือน 4-6 มิ.ย. รับมือฝนตกหนัก เสี่ยงท่วมฉับพลัน-น้ำป่าหลาก จับตาฝนทะลุ 100 มม."",""key_fact"":""weather warning for 4-6 June with heavy rain risk"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-shopee-rain-cover-budget-20260604,shopee-rain-cover-budget-20260604,2026-06-04T16:41:24+07:00,,,,,,,,,,neutral,budget rain cover floor at 12 baht for backpack/school bag use,"{""source_url"":""https://shopee.co.th/%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B9%89-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99-%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%9D%E0%B8%99-%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B9%80%E0%B8%9B%E0%B9%89-%E0%B9%80%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%9B%E0%B9%88%E0%B8%B2-Rain-cover-Rainproof-Backpack-Cover-i.967451259.21079985301"",""published"":""2026-06-04"",""headline"":""ถุงคลุมกระเป๋าเป้/กระเป๋านักเรียน กันฝน ถุงคลุมเป้ เดินป่า Rain cover Rainproof Backpack Cover"",""key_fact"":""listing price is 12 baht and fits commute/school use"",""use_case"":""commute and school protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
obs-tmd-heavy-rain-20260604-r2,tmd-heavy-rain-commute-20260604,2026-06-04T17:11:30+07:00,,,,,,,,,,cautious,repeat check still shows Bangkok thunderstorms and heavier rain in upper Thailand,"{""source_url"":""https://tmd.go.th/weather/weatherthailand"",""published"":""2026-06-04"",""headline"":""กรมอุตุนิยมวิทยา | พยากรณ์อากาศทั่วประเทศ"",""key_fact"":""Bangkok and surrounding areas still carry thunderstorm risk on repeat recheck"",""use_case"":""commute protection"",""observer_agent"":""viral_scout_web""}",viral_scout_web
