signal_id,captured_at,platform,source_type,source_url,topic,summary_th,people_involved_type,harm_level,verification_status,virality_evidence,engagement_snapshot,trend_age_hours,demand_window,audience_need,candidate_product_category,candidate_query,ethics_color,policy_risk,claim_risk,human_review_required,product_mapping_status,notes_th
example-celebrity-late-night-tired-eyes,2026-06-04T00:00:00+07:00,tiktok/social,example,,tired eyes after late-night event,ตัวอย่างเท่านั้น: กระแสคนคุยเรื่องใต้ตา/พักผ่อนน้อยหลังอีเวนต์ดึก ให้แปลงเป็น need ทั่วไป ไม่ใช้ชื่อหรือภาพดารา,public_figure,low,example_not_live,comment theme only,,,24-72h,ดูสดขึ้นหลังนอนน้อย/เตรียมตัวตอนเช้า,beauty_routine,cooling eye mask OR gentle eye cream OR concealer,amber,celebrity/endorsement risk,cosmetic/health claim risk,yes,example_only,ห้ามอ้างว่าลดขอบตาดำแน่นอน ห้ามทำเหมือนดารา endorse
example-domestic-violence-injury,2026-06-04T00:00:00+07:00,news/social,example,,domestic violence injury,ตัวอย่างเท่านั้น: ข่าวความรุนแรง/บาดเจ็บเป็น red signal ห้าม map เป็นสินค้าเชิงขายจากบาดแผลของคนจริง,private_person_or_victim,high,example_not_live,viral discussion only,,,none,brand safety / human dignity,no direct product mapping,,red,violence/victim exploitation risk,medical treatment claim risk,yes,red_no_product_mapping,ถ้าจะทำภายหลังให้ทำเป็น broad safety/first-aid awareness โดย human approval และไม่ใช้ข่าวเป็น hook
ad-hoc-rain-commute-bag-cover-20260604,2026-06-04T14:30:00+07:00,prd/tmd,official_weather,https://www.prd.go.th/th/content/category/detail/id/6/cid/39/iid/502898,rainy season commute bag protection,กรมอุตุฯผ่าน PRD ระบุไทยเข้าสู่ฤดูฝนและช่วงกลาง พ.ค. ถึงกลาง มิ.ย. ฝนเพิ่มและตกต่อเนื่อง เหมาะกับสินค้า commute กันเปียก,none,low,primary_confirmed,official rainy season signal,,0,30-90d,คนเดินทางต้องกันเปียกให้กระเป๋าและของสำคัญ,backpack_rain_cover,site:shopee.co.th rain cover กระเป๋าเป้กันฝน,green,low,low,no,need_identified,ห้ามทำภาพน้ำท่วมภัยพิบัติหรือรับประกันกันน้ำทุกสถานการณ์
ad-hoc-rain-travel-dry-bag-20260604,2026-06-04T14:30:00+07:00,nation/ddpm,news_weather,https://www.nationthailand.com/news/general/40066997,andaman rainy travel dry storage,ข่าวเตือนภาคใต้ฝั่งอันดามันช่วง 3-8 มิ.ย. เรื่องฝนหนักและคลื่นลมแรง ใช้เป็นสัญญาณท่องเที่ยวหน้าฝนแบบไม่ fearmonger,none,medium,source_seen,news weather hazard signal,,24,3-7d,นักท่องเที่ยวและคนทำงานภาคใต้ต้องเก็บของแห้งเวลาเจอฝน,dry_bag_waterproof_packing,site:shopee.co.th dry bag waterproof กระเป๋ากันน้ำ ท่องเที่ยว,amber,medium,low,yes,needs_verification,ใช้มุมเตรียมของเที่ยวหน้าฝน ห้ามขายบนภาพภัยพิบัติหรือน้ำป่า
ad-hoc-rainy-season-mosquito-home-20260604,2026-06-04T14:30:00+07:00,nation/ddc,health_news,https://www.nationthailand.com/health-wellness/40066863,rainy season mosquito home prevention,DDC เตือนโรคและภัยสุขภาพหน้าฝนรวมถึงโรคจากยุงลาย ให้กำจัดน้ำขังและดูแลสุขอนามัย เหมาะกับสินค้า home prevention แบบไม่เคลมรักษา,none,medium,source_seen,DDC rainy season health warning,,96,30-90d,ครอบครัวต้องลดจุดที่ยุงเข้าบ้านและจัดการบ้านช่วงฝน,mosquito_screen_repair_home,site:shopee.co.th มุ้งลวดซ่อม เทปมุ้งลวด กันยุง,amber,medium,medium,yes,needs_verification,ห้ามอ้างป้องกันไข้เลือดออกหรือโรคแน่นอน ใช้แค่ช่วยลดช่องยุงเข้าบ้าน
ad-hoc-pride-outdoor-event-kit-20260604,2026-06-04T14:30:00+07:00,thailand-go/nation,event_news,https://thailand.go.th/issue-focus-detail/bangkok-pride-festival-2026--patch-the-world-with-peace--people--pride,bangkok pride outdoor event comfort,Thailand.go.th ระบุ Bangkok Pride Festival 2026 ช่วง 28 พ.ค. ถึง 1 มิ.ย. และหลายพื้นที่ยังมีกิจกรรม Pride Month ต่อเนื่องในเดือนมิถุนายน,community_event,low,primary_confirmed,official event signal,,72,7-30d,คนไปงานกลางแจ้งต้องพกของเบา ถ่ายคอนเทนต์ และรับมืออากาศร้อนฝน,portable_fan_clear_sling,site:shopee.co.th พัดลมพกพา กระเป๋าใส clear bag event,amber,medium,low,yes,need_identified,ทำเป็น festival comfort ไม่ใช้ identity เป็น gimmick และไม่ใช้ภาพบุคคลจริงโดยไม่ได้สิทธิ์ 2026-06-05 repeat PRD Pride coverage still supports the June event-comfort angle
ad-hoc-back-to-school-rain-kit-20260604,2026-06-04T14:30:00+07:00,thaipbs/news,news_retail,https://www.thaipbs.or.th/news/content/505311,back to school rainy commute,Thai PBS รายงานแคมเปญ Back To School 2026 ช่วงเปิดเทอม บวกฤดูฝนทำให้สินค้าเด็กนักเรียนกันเปียกมี timing ชัด,none,low,source_seen,back to school retail timing,,720,14-30d,ผู้ปกครองต้องเตรียมของเปิดเทอมที่กันเปียกและติดชื่อได้,waterproof_name_label_school_bag_cover,site:shopee.co.th สติกเกอร์ชื่อกันน้ำ ป้ายชื่อนักเรียน rain cover กระเป๋านักเรียน,green,low,low,no,need_identified,ห้ามอ้างลดราคาจริงจนกว่า Research ตรวจราคาและร้าน 2026-06-05 repeat weather timing still reinforces school commute rain kit
news-heavy-rain-commute-20260601,2026-06-04T15:42:14+07:00,thaiger,news_weather,https://thethaiger.com/news/national/thailand-weather-forecast-june-1-heavy-rain-nationwide,heavy rain nationwide and commute protection,Thaiger รายงานการเตือนฝนหนักทั่วไทยจาก TMD และความเสี่ยงน้ำท่วมฉับพลัน ทำให้มุมกันเปียกของคนเดินทางกลับมาชัดอีกครั้ง,none,low,source_seen,weather headline repeated across Thai news,headline coverage,72,3-7d,คนเดินทางต้องกันเปียกของสำคัญก่อนออกจากบ้าน,backpack_rain_cover,site:shopee.co.th rain cover กระเป๋าเป้กันฝน,green,low,low,no,need_identified,ใช้มุม commute protection ไม่ใช้ภาพภัยพิบัติ
dit-back-to-school-cost-control-20260511,2026-06-04T15:42:14+07:00,dit,news_retail,https://www.dit.go.th/th/news/activity-pictures/2569/dit-%E0%B8%A5%E0%B8%87%E0%B8%9E-%E0%B8%99%E0%B8%97-%E0%B8%95%E0%B8%A3%E0%B8%A7%E0%B8%88%E0%B8%A3-%E0%B8%B2%E0%B8%99%E0%B8%8A-%E0%B8%94%E0%B8%99-%E0%B8%81%E0%B9%80%E0%B8%A3-%E0%B8%A2%E0%B8%99-%E0%B8%81-%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%9B-%E0%B8%94%E0%B9%80%E0%B8%97%E0%B8%AD%E0%B8%A1-%E0%B8%A2-%E0%B8%B3%E0%B8%95%E0%B8%A3-%E0%B8%87%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2-%E0%B8%9B-%E0%B8%94%E0%B8%9B-%E0%B8%B2%E0%B8%A2%E0%B8%8A-%E0%B8%94-%E0%B8%8A%E0%B8%A7%E0%B8%99%E0%B8%9C-%E0%B8%9B%E0%B8%81%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B9%83%E0%B8%8A-%E0%B9%82%E0%B8%9B%E0%B8%A3-back-to-school-2026/,back to school cost control and reused uniforms,DIT ลงพื้นที่ตรวจร้านชุดนักเรียนก่อนเปิดเทอม ย้ำปิดป้ายราคาและชวนใช้โปร Back To School 2026 ทำให้จังหวะเปิดเทอมยังเป็นหน้าซื้อของจำเป็น,none,low,primary_confirmed,public inspection plus campaign coverage,official article,552,14-30d,ผู้ปกครองต้องคุมงบเปิดเทอมและซื้อของจำเป็นให้คุ้มที่สุด,waterproof_name_label_school_bag_cover,site:shopee.co.th สติกเกอร์ชื่อกันน้ำ ป้ายชื่อนักเรียน rain cover กระเป๋านักเรียน,green,low,low,no,query_ready,ช่วยขยายมุมเปิดเทอมที่คุมงบและใช้ของเดิมได้
prd-pride-month-festivals-20260602,2026-06-04T15:42:14+07:00,prd,event_news,https://thailand.prd.go.th/en/content/category/detail/id/2078/iid/508710,pride month festivals across thailand,PRD รวบรวมเทศกาล Pride หลายจังหวัดตลอดเดือนมิถุนายน ทั้งกรุงเทพ ภูเก็ต เชียงใหม่ พัทยา และภาคอื่น ๆ ทำให้เดือนนี้มีจังหวะ event comfort ชัด,none,low,primary_confirmed,official festival calendar spans multiple provinces,official calendar,48,7-30d,คนไปงานกลางแจ้งต้องพกของเบา ถ่ายคอนเทนต์ง่าย และรับมืออากาศร้อนฝน,portable_fan_clear_sling,site:shopee.co.th พัดลมพกพา กระเป๋าใส clear bag event,amber,medium,low,yes,needs_verification,ต้องเคารพ identity และไม่ใช้ likeness หรือ implied endorsement
