cluster_id,cluster_key,normalized_topic_th,first_seen_at,last_seen_at,lead_signal_id,source_count,platform_count,max_signal_score,ethics_color_max,cluster_status,recommended_need_th,blocked_reason_th
cluster-example-tired-eyes,example_tired_eyes_20260604,กระแสพูดถึงใต้ตา/นอนน้อยหลังอีเวนต์ดึก,2026-06-04T00:00:00+07:00,2026-06-04T00:00:00+07:00,example-celebrity-late-night-tired-eyes,1,1,50,amber,needs_human_review,เตรียม routine ตอนเช้าหลังนอนน้อย,
cluster-example-violence,example_violence_20260604,ข่าวความรุนแรง/บาดเจ็บของคนจริง,2026-06-04T00:00:00+07:00,2026-06-04T00:00:00+07:00,example-domestic-violence-injury,1,1,,red,blocked,,red signal ห้าม map เป็นสินค้า
cluster-rain-commute-bag-cover-20260604,rain_commute_bag_cover_20260604,ฤดูฝนกับการกันเปียกของคนเดินทาง,2026-06-04T14:30:00+07:00,2026-06-05T16:03:38+07:00,ad-hoc-rain-commute-bag-cover-20260604,12,5,94,green,marketing_ready,กันเปียกกระเป๋าและของสำคัญระหว่าง commute,
cluster-rain-travel-dry-bag-20260604,rain_travel_dry_bag_20260604,เที่ยวหรือทำงานภาคใต้ช่วงฝนต้องเก็บของแห้ง,2026-06-04T14:30:00+07:00,2026-06-05T03:06:48+07:00,ad-hoc-rain-travel-dry-bag-20260604,2,2,78,amber,needs_human_review,กระเป๋ากันน้ำสำหรับเตรียมของเที่ยวหน้าฝน,ใช้สัญญาณภัยพิบัติอย่างระวัง
cluster-mosquito-home-rainy-season-20260604,mosquito_home_rainy_season_20260604,หน้าฝนกับการลดช่องยุงเข้าบ้าน,2026-06-04T14:30:00+07:00,2026-06-04T14:30:00+07:00,ad-hoc-rainy-season-mosquito-home-20260604,1,1,68,amber,needs_human_review,ซ่อมมุ้งลวดและจัดบ้านลดจุดยุงเข้า,health-adjacent claim risk
cluster-pride-outdoor-event-kit-20260604,pride_outdoor_event_kit_20260604,งาน Pride และ event outdoor เดือนมิถุนายน,2026-06-04T14:30:00+07:00,2026-06-05T20:07:07+07:00,ad-hoc-pride-outdoor-event-kit-20260604,4,3,83,amber,needs_human_review,ของพกพาเบาสำหรับงานกลางแจ้ง,ต้องเคารพ identity และไม่ใช้ likeness
cluster-back-to-school-rain-kit-20260604,back_to_school_rain_kit_20260604,เปิดเทอมและฤดูฝนสำหรับผู้ปกครอง,2026-06-04T14:30:00+07:00,2026-06-05T20:07:07+07:00,ad-hoc-back-to-school-rain-kit-20260604,3,2,85,green,marketing_ready,ของเปิดเทอมกันเปียกและติดชื่อ,
cluster-phone-waterproof-pouch-20260604,phone_waterproof_pouch_20260604,ซองกันน้ำมือถือสำหรับเดินทางหน้าฝน,2026-06-04T19:41:32+07:00,2026-06-05T12:03:27+07:00,shopee-phone-waterproof-pouch-20260604,5,1,82,green,marketing_ready,กันมือถือให้ยังใช้ได้ระหว่างฝนและการเดินทาง,
cluster-shoe-cover-rain-commute-20260605,shoe_cover_rain_commute_20260605,รองเท้ากันเปียกสำหรับเดินทางหน้าฝน,2026-06-05T13:02:22+07:00,2026-06-05T20:07:07+07:00,tmd-heavy-rain-overflow-shoe-cover-20260605,3,2,83,green,marketing_ready,กันรองเท้าเปียกระหว่างเดินทางและเดินต่อได้,
cluster-gt-th-ฮุน-เซน-a0e70e86,gt-th-ฮุน-เซน-a0e70e86,ฮุน เซน,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-th-ฮุน-เซน-a0e70e86,3,1,46,amber,needs_human_review,,
cluster-gt-th-ศาล-621a34f8,gt-th-ศาล-621a34f8,ศาล,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-th-ศาล-621a34f8,3,1,46,amber,needs_human_review,,
cluster-gt-th-ราคาทอง-1-บาท-วันนี้-584ec118,gt-th-ราคาทอง-1-บาท-วันนี้-584ec118,ราคาทอง 1 บาท วันนี้,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-th-ราคาทอง-1-บาท-วันนี้-584ec118,3,1,49,amber,needs_human_review,,
cluster-gt-th-การเมือง-9c2c1b5f,gt-th-การเมือง-9c2c1b5f,การเมือง,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-th-การเมือง-9c2c1b5f,3,1,48,amber,needs_human_review,,
cluster-gt-th-scratch-ffdf8c66,gt-th-scratch-ffdf8c66,scratch,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-th-scratch-ffdf8c66,3,1,61,green,needs_human_review,,
cluster-gt-th-เม็กซิโก-พบ-เซอร์เบีย-f215860c,gt-th-เม็กซิโก-พบ-เซอร์เบีย-f215860c,เม็กซิโก พบ เซอร์เบีย,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-th-เม็กซิโก-พบ-เซอร์เบีย-f215860c,3,1,67,green,marketing_ready,,
cluster-gt-th-บางจาก-คอร์ปอเรชั่น-aa76bca3,gt-th-บางจาก-คอร์ปอเรชั่น-aa76bca3,บางจาก คอร์ปอเรชั่น,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-th-บางจาก-คอร์ปอเรชั่น-aa76bca3,3,1,40,amber,needs_human_review,,
cluster-gt-th-สภาพอากาศวันนี้-24bb778a,gt-th-สภาพอากาศวันนี้-24bb778a,สภาพอากาศวันนี้,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-th-สภาพอากาศวันนี้-24bb778a,3,1,65,green,marketing_ready,,
cluster-gt-th-lpga-3752fbe7,gt-th-lpga-3752fbe7,lpga,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-th-lpga-3752fbe7,3,1,64,green,marketing_ready,,
cluster-gt-th-หวยพัฒนา-85ee42cc,gt-th-หวยพัฒนา-85ee42cc,หวยพัฒนา,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-th-หวยพัฒนา-85ee42cc,3,1,56,green,needs_human_review,,
cluster-gt-us-melanie-hyer-doral-5dc14684,gt-us-melanie-hyer-doral-5dc14684,melanie hyer doral,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-us-melanie-hyer-doral-5dc14684,3,1,64,green,blocked,,
cluster-gt-us-england-vs-new-zealand-b972350b,gt-us-england-vs-new-zealand-b972350b,england vs new zealand,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-us-england-vs-new-zealand-b972350b,3,1,71,green,marketing_ready,,
cluster-gt-us-taylah-preston-bdfc6139,gt-us-taylah-preston-bdfc6139,taylah preston,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-us-taylah-preston-bdfc6139,1,1,62,green,blocked,,
cluster-gt-us-sharon-stone-ex-husband-43e23940,gt-us-sharon-stone-ex-husband-43e23940,sharon stone ex husband,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-us-sharon-stone-ex-husband-43e23940,3,1,61,green,needs_human_review,,
cluster-gt-us-peco-280bb3fd,gt-us-peco-280bb3fd,peco,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-us-peco-280bb3fd,3,1,60,green,needs_human_review,,
cluster-gt-us-facebook-user-privacy-settlement-08e94a7a,gt-us-facebook-user-privacy-settlement-08e94a7a,facebook user privacy settlement,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-us-facebook-user-privacy-settlement-08e94a7a,3,1,59,green,needs_human_review,,
cluster-gt-us-turks-and-caicos-b77218e6,gt-us-turks-and-caicos-b77218e6,turks and caicos,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-us-turks-and-caicos-b77218e6,3,1,59,green,blocked,,
cluster-gt-us-matt-brown-cause-of-death-1e462251,gt-us-matt-brown-cause-of-death-1e462251,matt brown cause of death,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-us-matt-brown-cause-of-death-1e462251,3,1,57,green,blocked,,
cluster-gt-us-invisible-dormant-black-hole-science-04fa8aa1,gt-us-invisible-dormant-black-hole-science-04fa8aa1,invisible dormant black hole science,2026-06-05T18:02:25+07:00,2026-06-05T18:10:10+07:00,gt-us-invisible-dormant-black-hole-science-04fa8aa1,3,1,56,green,blocked,,
