review_id,created_at,review_type,ethics_color,source_ref,signal_id,product_candidate_id,question_th,recommended_decision,decision,decided_at,decided_by,decision_notes_th
example-amber-celebrity,2026-06-04T00:00:00+07:00,signal_to_product_mapping,amber,example_social_signal,example-celebrity-late-night-tired-eyes,,อนุญาตให้แปลงกระแสดาราดูเหนื่อยเป็น need ทั่วไปเรื่อง routine หลังนอนน้อยหรือไม่ โดยไม่ใช้ชื่อ/ภาพ/endorsement?,approve_generalized_need,,,, 
example-red-violence,2026-06-04T00:00:00+07:00,red_signal_exception,red,example_news_signal,example-domestic-violence-injury,,มีเหตุผลด้าน public-safety ที่จะใช้ signal นี้แบบ de-identified หรือไม่? ถ้าไม่มีให้ archive เท่านั้น,reject_product_mapping,,,,
review-dry-bag-flood-signal-20260604,2026-06-04T14:30:00+07:00,signal_to_product_mapping,amber,mc-rain-travel-dry-bag-20260604,ad-hoc-rain-travel-dry-bag-20260604,,อนุญาตให้ใช้ข่าวฝนหนักภาคใต้เป็นมุม travel prep แบบไม่ fearmonger หรือไม่,approve_if_travel_prep_only,,,,
review-mosquito-home-claim-20260604,2026-06-04T14:30:00+07:00,health_adjacent_claim,amber,mc-mosquito-screen-repair-20260604,ad-hoc-rainy-season-mosquito-home-20260604,,อนุญาตให้ Research หาเทปซ่อมมุ้งลวดโดยใช้ claim แค่ช่วยลดช่องยุงเข้าบ้านและไม่พูดป้องกันโรคหรือไม่,approve_limited_home_claim,,,,
review-pride-event-comfort-20260604,2026-06-04T14:30:00+07:00,sensitive_social_context,amber,mc-pride-outdoor-comfort-kit-20260604,ad-hoc-pride-outdoor-event-kit-20260604,,อนุญาตให้ทำมุม festival comfort สำหรับ Pride Month โดยไม่ใช้ identity เป็น gimmick และไม่ใช้ likeness บุคคลจริงหรือไม่,approve_respectful_event_comfort,,,,
review-pride-month-festivals-20260604,2026-06-04T15:42:14+07:00,sensitive_social_context,amber,prd-pride-month-festivals-20260602,prd-pride-month-festivals-20260602,,อนุญาตให้ใช้ปฏิทิน Pride Month ของ PRD เป็นมุม festival comfort สำหรับของพกพาได้หรือไม่ โดยไม่ใช้ identity เป็น gimmick?,approve_respectful_event_comfort,,,,
review-thaipbs-pride-bangkok-20260604,2026-06-04T16:12:41+07:00,sensitive_social_context,amber,thaipbs-pride-bangkok-20260604,thaipbs-pride-bangkok-20260604,,อนุญาตให้ใช้ Thai PBS Pride coverage เป็นมุม festival comfort ต่อเนื่องของเดือนมิถุนายน โดยไม่ใช้ identity เป็น gimmick หรือไม่?,approve_respectful_event_comfort,,,,
review-tmd-southwest-coast-travelprep-20260604,2026-06-04T17:40:09+07:00,signal_to_product_mapping,amber,https://www.tmd.go.th/en/warning-and-events/warning-storm/heavy-to-very-heavy-rains-in-thailand-strong-wind-waves-in-the-andaman-sea-no-11-89-2026,tmd-southwest-coast-heavy-rain-20260604,,อนุญาตให้ใช้ TMD south-west coast heavy-rain forecast เป็นมุม travel prep/dry bag แบบไม่ fearmonger หรือไม่?,approve_if_travel_prep_only,,,,
review-eye-comfort-generalization-20260604,2026-06-04T18:42:58+07:00,signal_to_product_mapping,amber,mc-example-tired-eyes-20260604,example-celebrity-late-night-tired-eyes,,อนุญาตให้แปลงเป็นสินค้า eye-comfort แบบ routine หรือควรเก็บเป็นตัวอย่างเฉย ๆ?,approve_generalized_need,,,,health/cosmetic-adjacent; need an explicit product and claim review before normalization
review-gt-th-ฮุน-เซน-a0e70e86,2026-06-05T18:02:25+07:00,social_trend_safety_review,amber,gt-th-ฮุน-เซน-a0e70e86,gt-th-ฮุน-เซน-a0e70e86,,ควรใช้ trend 'ฮุน เซน' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
review-gt-th-ศาล-621a34f8,2026-06-05T18:02:25+07:00,social_trend_safety_review,amber,gt-th-ศาล-621a34f8,gt-th-ศาล-621a34f8,,ควรใช้ trend 'ศาล' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
review-gt-th-ราคาทอง-1-บาท-วันนี้-584ec118,2026-06-05T18:02:25+07:00,social_trend_safety_review,amber,gt-th-ราคาทอง-1-บาท-วันนี้-584ec118,gt-th-ราคาทอง-1-บาท-วันนี้-584ec118,,ควรใช้ trend 'ราคาทอง 1 บาท วันนี้' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
review-gt-th-การเมือง-9c2c1b5f,2026-06-05T18:02:25+07:00,social_trend_safety_review,amber,gt-th-การเมือง-9c2c1b5f,gt-th-การเมือง-9c2c1b5f,,ควรใช้ trend 'การเมือง' เป็น marketing signal หรือ archive เท่านั้น?,reject_product_mapping,,,,
