need_id,cluster_id,audience_need_th,safe_angle_th,unsafe_angle_th,product_category,shopee_query,claim_limits_th,ethics_gate,mapping_confidence,mapping_status,reviewer
need-example-tired-eyes,cluster-example-tired-eyes,ดูสดขึ้นหลังนอนน้อยโดยไม่ใช้ชื่อหรือภาพคนดัง,เช้าเร่ง ๆ หลังนอนดึก ใช้ routine ที่อ่อนโยนและดูเป็นธรรมชาติ,อ้างว่าดาราคนนั้นใช้/ลดขอบตาดำแน่นอน,beauty_routine,เจลมาสก์ตาเย็น eye mask OR concealer OR eye cream Shopee,ห้าม guarantee ลดขอบตาดำ/รักษา/ผลลัพธ์ถาวร,amber,60,needs_human_review,
need-example-violence,cluster-example-violence,ไม่อนุมัติ product mapping จากความรุนแรงของคนจริง,archive เป็น social learning เท่านั้น,ขายครีมลดฟกช้ำจากข่าวคนถูกทำร้าย,no_direct_product_mapping,,ห้าม medical/treatment claim และห้าม monetize victim pain,red,0,red_no_product_mapping,
need-rain-commute-bag-cover-20260604,cluster-rain-commute-bag-cover-20260604,กันเปียกให้กระเป๋าและของจำเป็นระหว่างเดินทางหน้าฝน,เตรียม rain cover ก่อนออกจากบ้านช่วงฝนมาไวและเดินทางแน่น,รับประกันของไม่เปียกทุกสถานการณ์หรือโชว์น้ำท่วม,backpack_rain_cover,site:shopee.co.th rain cover กระเป๋าเป้กันฝน,ห้ามเคลมกันน้ำสมบูรณ์หรือป้องกันภัยพิบัติ,green,98,query_ready,
need-rain-travel-dry-bag-20260604,cluster-rain-travel-dry-bag-20260604,เก็บของจำเป็นให้แยกแห้งเวลาเที่ยวหรือทำงานกลางฝน,แพ็กของลง dry bag แบบเที่ยวหน้าฝนอย่างไม่ตื่นตระหนก,ใช้ภาพน้ำป่า น้ำท่วม หรือรับประกันอุปกรณ์ปลอดภัยแน่นอน,dry_bag_waterproof_packing,site:shopee.co.th dry bag waterproof กระเป๋ากันน้ำ ท่องเที่ยว,ห้ามรับประกันกันน้ำทุกกรณีและห้าม fearmongering,amber,79,needs_human_review,
need-mosquito-home-rainy-season-20260604,cluster-mosquito-home-rainy-season-20260604,ลดช่องยุงเข้าบ้านและจัดบ้านช่วงฝน,ซ่อมมุ้งลวดช่องเล็ก ๆ และเก็บบ้านให้เรียบร้อย,อ้างว่าป้องกันไข้เลือดออกหรือโรคยุงลายแน่นอน,mosquito_screen_repair_home,site:shopee.co.th มุ้งลวดซ่อม เทปมุ้งลวด กันยุง,ใช้แค่ช่วยลดช่องยุงเข้าบ้าน ห้าม claim ป้องกันโรค,amber,66,needs_human_review,
need-pride-outdoor-event-kit-20260604,cluster-pride-outdoor-event-kit-20260604,พกของเบาและสบายตัวในงานกลางแจ้งเดือน Pride,festival comfort kit สำหรับคนไปงานและถ่ายคอนเทนต์,ใช้ identity เป็น gimmick หรือใช้ภาพคนจริงโดยไม่ได้สิทธิ์,portable_fan_clear_sling,site:shopee.co.th พัดลมพกพา กระเป๋าใส clear bag event,ห้าม implied endorsement และห้ามใช้ likeness,amber,83,needs_human_review,
need-back-to-school-rain-kit-20260604,cluster-back-to-school-rain-kit-20260604,เตรียมของเปิดเทอมที่กันเปียกและหาเจอง่าย,ติดชื่อกันน้ำและคลุมกระเป๋านักเรียนช่วงเปิดเทอมหน้าฝนเพื่อคุมงบ,อ้างราคาลดจริงหรือกันน้ำทุกสถานการณ์โดยไม่ตรวจ,waterproof_name_label_school_bag_cover,site:shopee.co.th สติกเกอร์ชื่อกันน้ำ ป้ายชื่อนักเรียน rain cover กระเป๋านักเรียน,ต้องตรวจราคาและ SKU ก่อนใช้ CTA,green,86,query_ready,
need-phone-waterproof-pouch-20260604,cluster-phone-waterproof-pouch-20260604,กันมือถือให้ยังใช้ได้ตอนฝนมาและต้องเรียกรถ,ใส่มือถือก่อนออกจากบ้านช่วงฝนเพื่อยังใช้แผนที่ จ่ายเงิน และถ่ายรูปได้,อ้างว่ากันน้ำ 100% หรือป้องกันความเสียหายทุกกรณี,phone_waterproof_pouch,site:shopee.co.th ซองใส่โทรศัพท์กันน้ำ,"ห้ามเคลมกันน้ำ 100%, ดำน้ำลึก, หรือป้องกันความเสียหายทุกกรณี",green,91,query_ready,
need-rain-shoe-cover-20260605,cluster-shoe-cover-rain-commute-20260605,กันรองเท้าเปียกและเดินต่อได้เวลาเจอฝนและน้ำขัง,สวม shoe cover ก่อนออกจากบ้านเพื่อช่วยคลุมรองเท้าเวลาเดินทางหน้าฝน,เคลมกันลื่น 100% หรือกันน้ำทุกสถานการณ์,shoe_cover,site:shopee.co.th shoe cover ถุงคลุมรองเท้ากันน้ำ,"ห้ามเคลมกันน้ำ 100%, กันลื่น 100%, หรือเดินน้ำท่วมได้",green,87,query_ready,
need-gt-th-เม็กซิโก-พบ-เซอร์เบีย-f215860c,cluster-gt-th-เม็กซิโก-พบ-เซอร์เบีย-f215860c,ของดูบอลและเชียร์กีฬาที่ใช้ซ้ำได้,จัดมุมดูบอลที่บ้านหรือของพกไปเชียร์,ใช้โลโก้ทีม/ลิขสิทธิ์โดยไม่ได้สิทธิ์,fan_gear,site:shopee.co.th เสื้อกีฬา ผ้าพันคอ เชียร์บอล ของดูบอล,ต้องเลี่ยง IP/logo/team kit ปลอม,green,70,query_ready,
